IMname,Category,Energy,Frequency
13,1,634592.6985,54
13,1,581348.6699,55
13,1,634235.2845,56
13,1,526604.0952,57
13,1,473507.8145,58
13,1,454881.3248,59
13,1,360849.8588,60
13,1,344693.0423,61
13,1,350054.3364,62
13,1,371337.1748,63
13,1,331433.4704,64
13,1,289903.0016,65
13,1,265972.8705,66
13,1,272925.7242,67
13,1,234381.5837,68
13,1,192504.9924,69
13,1,159210.294,70
13,1,150140.9159,71
13,1,116518.4083,72
13,1,103250.5716,73
13,1,101880.7747,74
13,1,85096.36608,75
13,1,71984.13199,76
13,1,68807.71536,77
13,1,58773.51561,78
13,1,54630.41776,79
13,1,48889.08419,80
13,1,46318.75519,81
13,1,40005.77905,82
13,1,43887.11024,83
13,1,39666.29971,84
13,1,32158.73571,85
13,1,28861.01532,86
13,1,26531.57301,87
